month,date,rank,candidate,designation,year_or_period,tradition,source_witnesses,source_tier,preliminary_status,ranking_rationale,review_flags,decision_status,final_primary,notes
November,11-27,1,Virgil of Salzburg,Bishop,784,Irish / Greater Church,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Strong candidate,"Irish peregrinus, abbot, bishop, scholar, and pastor; strong hagiographical candidate on a thin Anglican day.",Greater Church remembers; source verification,Pending,,
November,11-27,2,Humilis of Bisignano,Franciscan lay brother,1637,Roman Catholic / Greater Church,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Usable,"Humility, prayer, service to the poor, and theological wisdom despite illiteracy; good Great Church alternate.",Greater Church remembers,Pending,,
November,11-28,1,Kamehameha and Emma of Hawai‘i,King and Queen,1864 and 1885,Anglican / Hawaiian,BCP; LFF; HWHM; GCW,BCP / Current TEC / TEC secondary,Strong candidate with review,"Prayer Book/LFF royal Anglican witness in Hawai‘i; must be framed through Christian service, healing, and church-building rather than monarchy alone.",ruler-saint review; colonial/Hawaiian sovereignty context,Pending,,
November,11-28,2,Stephen the Younger,Monastic and martyr,764,Eastern Orthodox / Greater Church,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Strong alternate,Iconodule monastic martyr under Byzantine iconoclasm; strong Great Church alternate.,Greater Church remembers; iconoclasm context,Pending,,
November,11-28,3,Catherine Labouré,Religious / visionary,1876,Roman Catholic / Greater Church,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Review,Quiet religious life and Marian vision tradition; private-revelation/devotional medal handling required.,private-revelation handling; Marian devotion; Greater Church remembers,Pending,,
November,11-29,1,Dorothy Day,Writer and worker of mercy,1980,Roman Catholic / Anglican-received,AM,Anglican martyrology,Strong candidate with review,"Modern Catholic Worker witness of voluntary poverty, hospitality, pacifism, and prayer; strong holiness case but not Anglican calendar control.",modern review; social-impact caution; Greater Church remembers,Pending,,
November,11-29,2,Saturninus of Toulouse,Bishop and Martyr,3rd century,Greater Church / Western,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Strong alternate,Ancient missionary bishop and martyr; reliable hagiographical fallback if Dorothy Day is deferred.,Greater Church remembers; legendary material review,Pending,,
November,11-29,3,Francis of Lucera,Franciscan teacher,1742,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Usable,Conventual Franciscan teaching witness; lower source priority.,Greater Church remembers; source verification,Pending,,
November,11-30,1,Saint Andrew the Apostle,Apostle,1st century,Apostolic / Anglican-received,BCP; LFF; HWHM; GCW; FAS; SEC; AM,BCP / Current TEC / Broad Anglican,Strong candidate,Uncontested apostolic feast; patronal significance for Scotland also strengthens Anglican provincial resonance.,none,Pending,,
November,11-30,2,Cuthbert Mayne,Priest and Martyr,1577,Roman Catholic / Anglican-context contested,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Review,First seminary-priest martyr after the English Reformation; cannot displace Andrew and requires Reformation-context handling.,defer under apostle; Reformation conflict; Greater Church remembers,Pending,,
