month,date,rank,candidate,designation,year_or_period,tradition,source_witnesses,source_tier,preliminary_status,ranking_rationale,review_flags,decision_status,final_primary,notes
September,09-28,1,Paula and Eustochium of Rome,Monastics and Scholars,404 and c. 419,Anglican-received Great Church,LFF; AM,Current TEC/LFF / Great Church,Strong candidate,Current LFF; women monastics and scholars associated with Jerome and Bethlehem communities.,Jerome-dependence/hagiographic framing; Greater Church remembers,Pending,,
September,09-28,2,"Richard Rolle, Walter Hilton, and Margery Kempe",Mystics,"1349, 1396, c. 1440",Anglican / English,HWHM; GCW; AM,TEC secondary / Anglican martyrology,Strong alternate,English mystical tradition with strong contemplative/prayability fit; group entry may later be split or placed differently.,group entry; date harmonization with Rolle Sep29 AM,Pending,,
September,09-28,3,Wenceslas of Bohemia,Duke and Martyr,929,Greater Church / Western,AM,Anglican martyrology / Great Church,Usable,Ruler-martyr and justice tradition; lower than current LFF monastic women and English mystics.,ruler-saint review; Greater Church remembers,Pending,,
September,09-28,4,Lioba,Abbess and missionary,782,Anglican / English-German mission,AM,Anglican martyrology,Usable,English nun in Boniface’s mission; strong women’s monastic-learning witness.,source verification,Pending,,
September,09-28,5,Lorenzo Ruiz and Companions,Martyrs,1637,Roman Catholic / Greater Church,AM,Anglican martyrology / Great Church,Strong alternate,First Filipino canonized saint and martyrial witness in Japan; excellent Great Church/postcolonial supplement.,Greater Church remembers; martyrdom/persecution context,Pending,,
September,09-29,1,Saint Michael and All Angels,Archangelic feast,,Anglican-received Great Church,BCP; LFF; HWHM; GCW; FAS; SEC; AM,BCP / Current TEC / Broad Anglican,Strong candidate,Major Prayer Book and Great Church feast; uncontested primary candidate.,none,Pending,,
September,09-29,2,Richard Rolle,Hermit and mystic,1349,Anglican / English,AM; HWHM/GCW group on Sep 28,Anglican martyrology / TEC secondary date variant,Review / date harmonization,Strong English mystical witness but date/group form needs harmonization and cannot displace Michaelmas.,date harmonization; defer under major feast,Pending,,
September,09-29,3,Charles of Blois,Duke / penitent ruler,1364,Greater Church / Western,AM,Anglican martyrology / Great Church,Weak / defer,Ruler/penitent witness but lower priority and cannot displace Michaelmas.,ruler-saint review; Greater Church remembers,Pending,,
September,09-30,1,Jerome,Priest and Scholar,420,Anglican-received Great Church,BCP; LFF; HWHM; GCW; FAS; SEC; AM,BCP / Current TEC / Broad Anglican,Strong candidate,"BCP/LFF and broad Anglican reception; biblical scholarship, ascetic labor, and hagiographic honesty about temperament.",theological/personality complexity handled honestly,Pending,,
September,09-30,2,Gregory the Enlightener,Bishop / apostle of Armenia,c. 330,Oriental Orthodox / Armenian / Greater Church,AM,Anglican martyrology / Great Church,Strong alternate,Major Armenian apostolic/episcopal witness; valuable Great Five candidate but lower priority than Jerome on BCP/LFF day.,Greater Church remembers; Armenian source verification,Pending,,
September,09-30,3,George Whitefield,Priest and evangelist,1770,Anglican / Methodist-evangelical,AM,Anglican martyrology,Review,Anglican priest and evangelical revival preacher; requires honest handling of slavery and revivalist complexity.,Protestant/evangelical complexity; hagiographic-honesty review,Pending,,
